,mean,std
year,2020.7923807175441,4.050518974350348
price_num,926484034.0278634,619379267.0163128
mileage,52462.150289729994,24902.531853120236
seats,5.5840216989273825,1.4090813971328482
engine_capacity,1.9882381950437675,0.5863856063925641
